         4770736 function calls (4687915 primitive calls) in 4.446 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    50257    0.010    0.000    0.014    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:195(is_tf_tensor)
    50257    0.010    0.000    0.014    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:134(_is_numpy)
87487/86035    0.010    0.000    0.087    0.000 {built-in method builtins.hasattr}
        1    0.010    0.010    0.010    0.010 {method 'do_handshake' of '_ssl._SSLSocket' objects}
      240    0.009    0.000    0.009    0.000 {built-in method torch.where}
    50257    0.009    0.000    0.013    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:225(is_jax_tensor)
       14    0.009    0.001    0.009    0.001 {built-in method torch.ones}
        1    0.009    0.009    0.739    0.739 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/vocab_struct.py:26(load_tokens)
       55    0.008    0.000    0.008    0.000 {built-in method _codecs.utf_8_decode}
      806    0.008    0.000    0.008    0.000 {built-in method io.open_code}
      500    0.008    0.000    0.008    0.000 {built-in method torch.layer_norm}
      465    0.007    0.000    0.016    0.000 {method 'read' of '_io.TextIOWrapper' objects}
    13345    0.007    0.000    0.028    0.000 /usr/lib/python3.8/inspect.py:726(getmodule)
        1    0.007    0.007    0.007    0.007 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.006    0.006    1.174    1.174 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/generation/utils.py:2172(greedy_search)
     1202    0.006    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
        1    0.006    0.006    0.006    0.006 {method 'connect' of '_socket.socket' objects}
       20    0.006    0.000    0.329    0.016 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/models/gpt2/modeling_gpt2.py:996(prepare_inputs_for_generation)
        3    0.006    0.002    0.263    0.088 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/tokenization_utils_base.py:1803(from_pretrained)
      240    0.006    0.000    0.192    0.001 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/models/gpt2/modeling_gpt2.py:377(forward)
     3940    0.006    0.000    0.014    0.000 /usr/lib/python3.8/tokenize.py:429(_tokenize)
    15783    0.006    0.000    0.009    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/sympy/multipledispatch/conflict.py:7(supercedes)
