         103638405 function calls (93855135 primitive calls) in 46.707 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    50259    0.013    0.000    0.013    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:107(<dictcomp>)
    34467    0.013    0.000    0.273    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/token_grammar_recognizer.py:237(<lambda>)
     3593    0.013    0.000    0.013    0.000 {built-in method posix.stat}
        1    0.012    0.012    0.012    0.012 {built-in method _socket.getaddrinfo}
39744/39730    0.011    0.000    0.012    0.000 {built-in method builtins.getattr}
    50257    0.011    0.000    0.015    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:195(is_tf_tensor)
    50257    0.011    0.000    0.025    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:138(is_numpy_array)
        1    0.011    0.011    0.804    0.804 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/models/auto/auto_factory.py:448(from_pretrained)
        1    0.010    0.010    0.641    0.641 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/vocab_struct.py:71(<listcomp>)
    50257    0.010    0.000    0.014    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:134(_is_numpy)
       14    0.010    0.001   27.842    1.989 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/token_grammar_recognizer.py:151(<listcomp>)
    50257    0.010    0.000    0.014    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:225(is_jax_tensor)
        1    0.009    0.009    0.754    0.754 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/vocab_struct.py:26(load_tokens)
       99    0.009    0.000    7.691    0.078 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/token_grammar_recognizer.py:245(_check_eos_token_acceptance)
       18    0.009    0.000    0.009    0.000 {built-in method builtins.sum}
        1    0.009    0.009    0.009    0.009 {method 'do_handshake' of '_ssl._SSLSocket' objects}
       55    0.008    0.000    0.008    0.000 {built-in method _codecs.utf_8_decode}
       14    0.008    0.001    0.008    0.001 {built-in method torch.ones}
    34527    0.008    0.000    0.013    0.000 /usr/lib/python3.8/logging/__init__.py:1424(debug)
      806    0.008    0.000    0.008    0.000 {built-in method io.open_code}
        1    0.008    0.008    0.008    0.008 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     3940    0.007    0.000    0.016    0.000 /usr/lib/python3.8/tokenize.py:429(_tokenize)
    13344    0.007    0.000    0.029    0.000 /usr/lib/python3.8/inspect.py:726(getmodule)
      192    0.007    0.000    0.007    0.000 {built-in method torch.matmul}
       96    0.007    0.000    0.012    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/activations.py:56(forward)
      465    0.007    0.000    0.015    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     1198    0.006    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
        1    0.006    0.006    0.006    0.006 {method 'connect' of '_socket.socket' objects}
        3    0.006    0.002    0.262    0.087 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/tokenization_utils_base.py:1803(from_pretrained)
    15820    0.006    0.000    0.009    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/sympy/multipledispatch/conflict.py:7(supercedes)
     3711    0.005    0.000    0.012    0.000 /usr/lib/python3.8/inspect.py:654(getfile)
    34567    0.005    0.000    0.005    0.000 /usr/lib/python3.8/logging/__init__.py:1689(isEnabledFor)
