         26758727 function calls (26577491 primitive calls) in 16.583 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      885    0.005    0.000    0.045    0.000 <frozen importlib._bootstrap>:890(_find_spec)
  5198/48    0.004    0.000    0.008    0.000 /usr/lib/python3.8/copy.py:128(deepcopy)
       20    0.004    0.000    0.004    0.000 {built-in method torch.stack}
     5557    0.004    0.000    0.006    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/recognizer.py:250(_consume_char_code_point_per_stack)
    53343    0.004    0.000    0.004    0.000 {method 'pop' of 'dict' objects}
    14908    0.004    0.000    0.005    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/utf8_utils.py:33(__eq__)
       20    0.004    0.000    0.004    0.000 {method 'max' of 'torch._C.TensorBase' objects}
        1    0.004    0.004    1.867    1.867 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/token_grammar_recognizer.py:59(__init__)
      960    0.004    0.000    0.048    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/pytorch_utils.py:100(forward)
        1    0.004    0.004    0.139    0.139 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/trie.py:66(__len__)
     6032    0.004    0.000    0.009    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/sympy/multipledispatch/conflict.py:12(consistent)
       40    0.004    0.000   11.803    0.295 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/token_grammar_recognizer.py:153(<listcomp>)
        2    0.004    0.002    0.004    0.002 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/models/gpt2/tokenization_gpt2.py:183(<dictcomp>)
       41    0.004    0.000    0.004    0.000 {method 'any' of 'torch._C.TensorBase' objects}
      806    0.004    0.000    0.081    0.000 <frozen importlib._bootstrap_external>:914(get_code)
